N08b | repos/erp-nucleo/src/adaptadores/sessao-redis.ts | import 'server-only' trocado por template literal com o import na linha do meio | inv. 3 | KILLED | saida 1:   adaptadores/sessao-redis.ts: falta import 'server-only' / [ELIFECYCLE] Command failed with exit code 1. / [ELIFECYCLE] Test failed. See above for more details.
N38k | repos/erp-nucleo/src/adaptadores/sessao-memoria.ts + repos/erp-nucleo/src/index.ts | NOVA: adaptador de escrita novo (adaptadores/sessao-memoria.ts, sessaoMemoriaDeEscrita com gravar/remover) exportado pela raiz | inv. 15 | SURVIVED | 136/136
G02 | repos/erp-dominio-stub/src/gestao-acesso-v2/servidor.mjs | token dev sem ancora ^ | mock | KILLED | 42/43; reprovou: G02/G05 (auditor_b1_d1_3): o token de desenvolvimento e ancorado; /v2/eu sem pessoa e 401
G05 | repos/erp-dominio-stub/src/gestao-acesso-v2/servidor.mjs | /v2/eu sem usuario responde 200 {} | mock | KILLED | 42/43; reprovou: G02/G05 (auditor_b1_d1_3): o token de desenvolvimento e ancorado; /v2/eu sem pessoa e 401
S05 | repos/erp-shell/lib/saude-zonas.ts | TTL padrao da sonda 1 s -> 10 s | L3 | KILLED | 42/43; reprovou: S05: sem ERP_SONDA_TTL_MS o TTL da sonda e 1 s (docs/CONFIGURACAO.md), nao o teto
S17 | repos/erp-shell/lib/saude-zonas.ts | so "saudavel" entra no cache | L1 | KILLED | 41/43; reprovou: S17: zona "fora" tambem fica no cache durante o TTL: a zona caida nao e sondada a cada pedido ; S17b: zona "fora" permanece em cache apos intervalo menor que TTL
S17b | repos/erp-shell/lib/saude-zonas.ts | "fora" entra no cache com validade de 1 ms | L1 | KILLED | 42/43; reprovou: S17b: zona "fora" permanece em cache apos intervalo menor que TTL
S17c | repos/erp-shell/lib/saude-zonas.ts | NOVA: "fora" no cache por 1/10 do TTL (100 ms com TTL 1 s) | L1 | SURVIVED | 43/43
AM1 | base/scripts/ambiente.mjs | precisaConstruir ignora app/ | verificacao | KILLED | 13/14; reprovou: AM1/AM2: cada entrada do build, mudada sozinha, pede reconstrucao
AM2 | base/scripts/ambiente.mjs | precisaConstruir ignora zonas.json e acesso.manifesto.ts | verificacao | KILLED | 13/14; reprovou: AM1/AM2: cada entrada do build, mudada sozinha, pede reconstrucao
AM3 | base/scripts/ambiente.mjs | subir nao confere porta ocupada | verificacao | KILLED | 13/14; reprovou: AM3: subir recusa porta ocupada antes de subir qualquer coisa
AM1b | base/scripts/ambiente.mjs | maisRecente so olha o primeiro nivel da pasta | verificacao | KILLED | 13/14; reprovou: AM1/AM2: cada entrada do build, mudada sozinha, pede reconstrucao
N38l | repos/erp-nucleo/src/fabricas/renovacao.ts + repos/erp-nucleo/src/shell/index.ts + repos/erp-nucleo/src/app/index.ts | NOVA: escritor NOVO do shell (fabricas/renovacao.ts: renovarSessao grava na store; exportado por /shell) embrulhado em /app: renovar = (...a) => renovarSessao(...a). A lista SIMBOLOS_EXCLUSIVOS_DO_SHELL e fixa, nao derivada de shell/index.ts | inv. 15 | SURVIVED | 136/136
E02 | repos/erp-zona-1/lib/redis.ts | zona 1 lib/redis.ts sem import server-only | inv. 3 | KILLED | 39/40; reprovou: as quatro aplicacoes reais passam 100% nas regras estaticas de seguranca
E02b | repos/erp-zona-1/lib/nucleo.ts | zona 1 lib/nucleo.ts sem import server-only | inv. 3 | KILLED | 39/40; reprovou: as quatro aplicacoes reais passam 100% nas regras estaticas de seguranca
E02c | repos/erp-zona-2/lib/pagina.ts | zona 2 lib/pagina.ts sem import server-only | inv. 3 | KILLED | 39/40; reprovou: as quatro aplicacoes reais passam 100% nas regras estaticas de seguranca
E10c | repos/erp-zona-acesso/app/acesso/page.tsx | acesso/page.tsx: campos com cadastro: JSON.stringify(p) | inv. 2 | KILLED | 39/40; reprovou: as quatro aplicacoes reais passam 100% nas regras estaticas de seguranca
E10b | repos/erp-zona-1/app/zona1/page.tsx | zona1: `${JSON.stringify(recursos)}` na prop texto da ilha | inv. 2 | KILLED | 39/40; reprovou: as quatro aplicacoes reais passam 100% nas regras estaticas de seguranca
XR15 | repos/erp-zona-1/lib/redis.ts | fetch para fora dentro do arquivo da excecao (zona 1 lib/redis.ts) | inv. 4 (N8) | KILLED | 39/40; reprovou: as quatro aplicacoes reais nao tem saida de rede fora do registro (fora as excecoes declaradas)
XR16 | repos/erp-zona-1/servicos/rede.ts | fetch em pasta nova fora de app/ e lib/ (servicos/rede.ts) | inv. 4 (N8) | KILLED | 39/40; reprovou: as quatro aplicacoes reais nao tem saida de rede fora do registro (fora as excecoes declaradas)
XE41 | repos/erp-zona-1/componentes/x.ts | NEXT_PUBLIC_API_TOKEN em componentes/x.ts | inv. 11 | KILLED | 39/40; reprovou: as quatro aplicacoes reais passam 100% nas regras estaticas de seguranca
XR17 | base/verificacao/saida-de-rede.mjs | excecao nova (lib/dominio-a.ts da zona 1) com motivo longo | inv. 4 (N8) | KILLED | 39/40; reprovou: as excecoes sao exatamente estas, cada uma com motivo e com o que permite; e cada uma e necessaria
T1 | repos/erp-zona-1/app/zona1/BotaoDeAviso.tsx + repos/erp-zona-1/app/zona1/page.tsx + repos/erp-zona-1/app/zona1/page.tsx | NOVA: objeto opcional: extra={primeiro?.custo} (custo?: {valor, centro}) | inv. 2 | KILLED | 39/40; reprovou: as quatro aplicacoes reais passam 100% nas regras estaticas de seguranca
T2 | repos/erp-zona-1/app/zona1/BotaoDeAviso.tsx + repos/erp-zona-1/app/zona1/page.tsx + repos/erp-zona-1/app/zona1/page.tsx | NOVA: uniao objeto|string: envio.resumo: string | Recurso[] | inv. 2 | KILLED | 39/40; reprovou: as quatro aplicacoes reais passam 100% nas regras estaticas de seguranca
T3 | repos/erp-zona-1/app/zona1/BotaoDeAviso.tsx + repos/erp-zona-1/app/zona1/page.tsx + repos/erp-zona-1/app/zona1/page.tsx | NOVA: array de string com o centro de custo: envio.centros: string[] | inv. 2 | KILLED | 39/40; reprovou: as quatro aplicacoes reais passam 100% nas regras estaticas de seguranca
T4 | repos/erp-zona-1/app/zona1/BotaoDeAviso.tsx + repos/erp-zona-1/app/zona1/page.tsx + repos/erp-zona-1/app/zona1/page.tsx | NOVA: tipo generico: Aviso<T>({ v }: { v: { item: T } }) passa v.item a ilha | inv. 2 | KILLED | 39/40; reprovou: as quatro aplicacoes reais passam 100% nas regras estaticas de seguranca
T5 | repos/erp-zona-1/app/zona1/BotaoDeAviso.tsx + repos/erp-zona-1/app/zona1/page.tsx + repos/erp-zona-1/app/zona1/page.tsx | NOVA: any implicito: JSON.parse(JSON.stringify(recursos)) em envio.copia | inv. 2 | KILLED | 39/40; reprovou: as quatro aplicacoes reais passam 100% nas regras estaticas de seguranca
T6 | repos/erp-zona-1/app/zona1/BotaoDeAviso.tsx + repos/erp-zona-1/app/zona1/page.tsx + repos/erp-zona-1/app/zona1/page.tsx | NOVA: tipo {} (qualquer nao-nulo): envio.resumo: {} | inv. 2 | KILLED | 39/40; reprovou: as quatro aplicacoes reais passam 100% nas regras estaticas de seguranca
T7 | repos/erp-zona-1/app/zona1/BotaoDeAviso.tsx + repos/erp-zona-1/app/zona1/page.tsx + repos/erp-zona-1/app/zona1/page.tsx | NOVA: cast mentiroso: extra={envio.resumo as unknown as string} | inv. 2 | KILLED | 39/40; reprovou: as quatro aplicacoes reais passam 100% nas regras estaticas de seguranca
T8 | repos/erp-zona-1/app/zona1/BotaoDeAviso.tsx + repos/erp-zona-1/app/zona1/page.tsx + repos/erp-zona-1/app/zona1/page.tsx | NOVA: objeto por elemento: extra={recursos[0]} | inv. 2 | KILLED | 39/40; reprovou: as quatro aplicacoes reais passam 100% nas regras estaticas de seguranca
TA1 | base/verificacao/seguranca-estatica.mjs | NOVA: ehTipoEscalar com some em vez de every na uniao | inv. 2 | SURVIVED | 40/40
TA2 | base/verificacao/seguranca-estatica.mjs | NOVA: ESCALARES inclui Object | inv. 2 | KILLED | 39/40; reprovou: V3 (K4, auditor_b1_d1_4): com o programa da app, o tipo decide o que vai a ilha, nao o nome do campo
TA3 | base/verificacao/seguranca-estatica.mjs | NOVA: x.campo volta a passar sem o verificador de tipos (revert do K4-1) | inv. 2 | KILLED | 39/40; reprovou: V3 (K4, auditor_b1_d1_4): com o programa da app, o tipo decide o que vai a ilha, nao o nome do campo
TA4 | base/verificacao/seguranca-estatica.mjs | NOVA: programaDaApp ignora os arquivos varridos (so cfg.fileNames) | inv. 2 | SURVIVED | 40/40
TA5 | base/verificacao/seguranca-estatica.mjs | NOVA: programaDaApp sem allowJs (.js/.mjs sem tipo) | inv. 2 | SURVIVED | 40/40
TA6 | base/verificacao/seguranca-estatica.mjs | NOVA: any conta como escalar | inv. 2 | KILLED | 39/40; reprovou: V3 (K4, auditor_b1_d1_4): com o programa da app, o tipo decide o que vai a ilha, nao o nome do campo
TA9 | base/verificacao/seguranca-estatica.mjs | NOVA: varrerSeguranca deixa de passar o programa (apps reais sem tipo) | inv. 2 | SURVIVED | 40/40
TA10 | base/verificacao/seguranca-estatica.mjs | NOVA: sem programa, x.campo passa (falha aberta) mesmo com CAMPOS_COMPLEXOS vazio | inv. 2 | KILLED | 39/40; reprovou: V3 (E10d, XE26): reprova campos complexos e objetos aninhados passados a ilhas
XN09a | repos/erp-zona-1/next.config.ts | NOVA: zona 1 next.config: assetPrefix por shorthand de variavel lida do ambiente | inv. 11 | SURVIVED | 40/40
XN09b | repos/erp-zona-1/next.config.ts | NOVA: zona 1 next.config: config.assetPrefix = process.env.X por atribuicao | inv. 11 | SURVIVED | 40/40
XN09c | base/verificacao/seguranca-estatica.mjs | NOVA: analisador: regra XN09 removida | inv. 11 | KILLED | 39/40; reprovou: XN09 (K4-4): assetPrefix e basePath do next.config so com texto literal
SR1 | base/verificacao/saida-de-rede.mjs | NOVA: bloco nao abre escopo | inv. 4 (N8) | SURVIVED | 40/40
SR2 | base/verificacao/saida-de-rede.mjs | NOVA: volta o conjunto unico por arquivo (revert do XR20) | inv. 4 (N8) | KILLED | 36/40; reprovou: as quatro aplicacoes reais nao tem saida de rede fora do registro (fora as excecoes declaradas) ; as excecoes sao exatamente estas, cada uma com motivo e com o que permite; e cada uma e necessaria ; toda excecao de store de sessao e mesmo o cliente Redis (a excecao nao sobra) ; V4 (XR20p): parametro fetch em uma funcao nao mascara fetch global em outra funcao
SR3 | base/verificacao/seguranca-estatica.mjs | NOVA: fontesDaApp volta a pular test/ em qualquer nivel | inv. 4 (N8) | SURVIVED | 40/40
SR4 | base/verificacao/saida-de-rede.mjs | NOVA: todo next/* permitido de novo | inv. 4 (N8) | KILLED | 39/40; reprovou: V4 (XR23p): subpaths proibidos de next (ex: next/dist/compiled/ws) sao recusados
SR5 | base/verificacao/saida-de-rede.mjs | NOVA: chave por identificador constante ignorada | inv. 4 (N8) | KILLED | 39/40; reprovou: V4 (XR38p): chave calculada montada por concatenacao para acessar constructor/binding e pega
SR6 | base/verificacao/saida-de-rede.mjs | NOVA: chave calculada por concatenacao ignorada | inv. 4 (N8) | SURVIVED | 40/40
SR7 | base/verificacao/saida-de-rede.mjs | NOVA: next/font/* aberto para qualquer subpath de next/ que comece por font | inv. 4 (N8) | SURVIVED | 40/40
XR20q | repos/erp-zona-1/lib/dominio-a.ts | NOVA: zona 1 lib/dominio-a.ts: classe com constructor(fetch) no arquivo + listarRecursos faz fetch direto para fora | inv. 4 (N8) | SURVIVED | 40/40
XR20r | repos/erp-zona-1/lib/dominio-a.ts | NOVA: zona 1 lib/dominio-a.ts: try/catch (fetch) no topo + fetch direto para fora | inv. 4 (N8) | SURVIVED | 40/40
FR1 | repos/erp-nucleo/scripts/fronteira.mjs | NOVA: fronteira: arquivo na raiz de src/ volta a nao ser camada | inv. 15 | KILLED | 135/136; reprovou: N38d-f: simbolos exclusivos do shell nao podem ser importados ou embrulhados na raiz ou em app/
FR2 | repos/erp-nucleo/scripts/fronteira.mjs | NOVA: fronteira: identidadeDev e ATORES_DE_DESENVOLVIMENTO fora da lista | inv. 15 | SURVIVED | 136/136
FR3 | repos/erp-nucleo/scripts/fronteira.mjs | NOVA: fronteira: checagem de simbolo so em app/ (raiz liberada) | inv. 15 | KILLED | 135/136; reprovou: N38d-f: simbolos exclusivos do shell nao podem ser importados ou embrulhados na raiz ou em app/
K4ENV1 | base/scripts/ambiente.mjs (envDaApp/envDoDominio) + base/showcase/subir.mjs | SEM MUTACAO: codigo atual com ERP_REDIS_SENHA_SHELL definida (docs/CONFIGURACAO.md; compose: 'fora da maquina local, defina-os no ambiente'); envDaApp apaga so REDIS_URL, a senha de escrita chega as 3 zonas e aos dominios | inv. 15 | SURVIVED | ERP_REDIS_SENHA_SHELL=dev-shell-escrita task verificar:redis: 100/100; /proc/<pid>/environ das 3 zonas com ERP_REDIS_SENHA_SHELL; a zona 1 gravou sessao forjada da carla com AUTH default <senha do proprio ambiente> e o cookie nunca emitido abriu /, /acesso, /zona1 como carla (anexos/prova-senha-shell.log); chave apagada (DEL 1, EXISTS 0) — VETO
E01g | repos/erp-zona-1/lib/redis.ts | NOVA: zona 1 lib/redis.ts: no carregamento do modulo, se houver process.env['REDIS_'+'URL'] (so existe no pnpm build: ambiente.mjs:172 constroi com env inteiro), grava a sessao forjada da carla com o comando montado ('s'+'et'); em execucao nao faz nada | inv. 15 | SURVIVED | 100/100
E01g | (evidencia) | a chave erp:sessao:sha256('forjada-aud8-build') existia depois da rodada (GET = sessao da carla); o cookie __Host-session=forjada-aud8-build abriu /, /acesso, /zona1 (pagina de administracao); DEL 1, EXISTS 0 (anexos/lote/E01g.log) | inv. 15 | SURVIVED | VETO (ver handoff V1)
E10d | repos/erp-zona-1/app/zona1/BotaoDeAviso.tsx + repos/erp-zona-1/app/zona1/page.tsx + repos/erp-zona-1/app/zona1/page.tsx | zona1: const envio = { lista: recursos } e extra={envio.lista} (ilha com prop opcional) | inv. 2 | KILLED | 39/40; reprovou: as quatro aplicacoes reais passam 100% nas regras estaticas de seguranca
E10e | repos/erp-zona-1/app/zona1/BotaoDeAviso.tsx + repos/erp-zona-1/app/zona1/page.tsx + repos/erp-zona-1/app/zona1/page.tsx | NOVA (V3 da it.5): extra={envio.resumo} com resumo = recursos (nome fora de CAMPOS_COMPLEXOS) | inv. 2 | KILLED | 39/40; reprovou: as quatro aplicacoes reais passam 100% nas regras estaticas de seguranca
XR20p | repos/erp-zona-1/lib/dominio-a.ts | zona1 lib/dominio-a.ts: const sombra = (fetch: unknown) => fetch + listarRecursos faz fetch direto para fora | inv. 4 (N8) | KILLED | 39/40; reprovou: as quatro aplicacoes reais nao tem saida de rede fora do registro (fora as excecoes declaradas)
XR38p | repos/erp-zona-2/lib/test/rede.ts + repos/erp-zona-2/lib/pagina.ts + repos/erp-zona-2/lib/pagina.ts | zona2 lib/test/rede.ts (novo) com fetch para fora, importado por lib/pagina.ts | inv. 4 (N8) | KILLED | 39/40; reprovou: as quatro aplicacoes reais nao tem saida de rede fora do registro (fora as excecoes declaradas)
XR23p | repos/erp-zona-acesso/lib/pagina.ts + repos/erp-zona-acesso/lib/pagina.ts | zona-acesso lib/pagina.ts: import Canal from 'next/dist/compiled/ws' e conexao a cada requisicao | inv. 4 (N8) | KILLED | 39/40; reprovou: as quatro aplicacoes reais nao tem saida de rede fora do registro (fora as excecoes declaradas)
XN01p | repos/erp-zona-2/next.config.ts + repos/erp-zona-2/app/error.tsx | zona2 next.config: config.env = { ZONA2_INTERNO } por atribuicao + process.env.ZONA2_INTERNO na ilha error.tsx | inv. 11 | KILLED | 39/40; reprovou: as quatro aplicacoes reais passam 100% nas regras estaticas de seguranca
E01b | repos/erp-zona-1/lib/redis.ts | zona1 lib/redis.ts: process.env.REDIS_URL // REDIS_URL_ZONA (nome so no comentario) | inv. 15 | KILLED | 99/100; reprovou: V1 estatico: o cliente Redis das zonas so le (sem set, del nem outro comando de escrita)
E05 | repos/erp-zona-1/app/zona1/api/health/route.ts | zona1 api/health chama o dominio A e devolve os recursos | B3/inv. 10 | KILLED | 99/100; reprovou: L1 (auditor_b1_d1_3, E05): /{zona}/api/health nao toca dominio nem sessao e responde corpo fixo
P12 | repos/erp-zona-1/lib/pagina.ts | zona1 lib/pagina.ts: hostsPermitidos acrescenta evil.com | inv. 5 | KILLED | 99/100; reprovou: P12: toda zona aceita Server Action so dos hosts do shell (SHELL_HOSTS), nunca uma lista escrita no codigo
E01f | repos/erp-zona-1/lib/redis.ts | zona1 lib/redis.ts: a cada leitura, conexao de passagem com process.env['REDIS_'+'URL'] grava sessao forjada da carla ('s'+'et') e sai com quit | inv. 15 | SURVIVED | 100/100
E01e | repos/erp-zona-1/lib/redis.ts | zona1 lib/redis.ts: cliente persistente com process.env['REDIS_'+'URL'] (REDIS_URL_ZONA segue no codigo) | inv. 15 | SURVIVED | 100/100
K2a | repos/erp-zona-2/lib/redis.ts | zona2 lib/redis.ts: recusa desligada (REDIS_URL sem REDIS_URL_ZONA cai no store em arquivo) | inv. 15 | KILLED | 99/100; reprovou: V1 (auditor_b1_d1_3): zona com REDIS_URL e sem REDIS_URL_ZONA nao le sessao nem conecta como o shell
P16b | repos/erp-zona-2/app/zona2/acoes.ts | zona2 acoes.ts: If-Match fixo '"3"' | inv. 6 | KILLED | 99/100; reprovou: L2 (P16b): mutacao envia a versao real do recurso (versao 1 em t-2), provando que If-Match nao e fixo em 3
P10 | repos/erp-zona-1/app/zona1/page.tsx | zona1 page: link de Relatorios para todos | inv. 8 | KILLED | 99/100; reprovou: L3 (auditor_b1_d1_3, P10): o link de Relatorios so aparece para quem tem a funcionalidade (invariante 8)
P09b | repos/erp-zona-acesso/app/acesso/acoes.ts + repos/erp-zona-acesso/app/acesso/acoes.ts | zona-acesso acoes.ts: nucleo as n e revogacao no 2o argumento do acaoProtegida (avaliado antes), erro engolido | inv. 5 | KILLED | 99/100; reprovou: Server Action sem Origin, ou com Origin de outro site, nao executa em nenhuma app (campos validos, estado conferido)
P12c | repos/erp-zona-2/lib/pagina.ts | zona2 lib/pagina.ts: adaptador cabecalho mente origin = shell e sec-fetch-site = same-origin | inv. 5 | KILLED | 96/100; reprovou: Server Action sem Origin, ou com Origin de outro site, nao executa em nenhuma app (campos validos, estado conferido) ; invariante 16: toda Server Action de toda app recusa quem nao tem o modulo, antes de agir ; invariante 12: sessao expirada numa action vira ida ao login, sem erro generico ; L2 (P16b): mutacao envia a versao real do recurso (versao 1 em t-2), provando que If-Match nao e fixo em 3
SEM1 | repos/erp-dominio-stub/dados/semente/dominio-c.json | stub dados/semente/dominio-c.json: t-1 de volta a versao 1 | inv. 6 | KILLED | 99/100; reprovou: N4: acao na zona 2 leva para a zona 1 e o toast aparece no documento seguinte, uma vez
XR20q | repos/erp-zona-1/lib/dominio-a.ts | NOVA: zona1 lib/dominio-a.ts: classe com constructor(fetch) (injecao de dependencia) + listarRecursos faz fetch direto para fora | inv. 4 (N8) | KILLED | 44/100; reprovou: camada 1: sem cookie, shell e zonas mandam para o login do shell, com Location relativo ; N3: o shell grava a sessao e o navegador recebe so um id opaco, HttpOnly e __Host- ; login nao vira redirecionamento aberto ; N5: o menu mostra so os modulos permitidos, igual no shell e nas zonas (moldura comum)
AMB1 | base/scripts/ambiente.mjs | NOVA: iniciar ignora envProc (revert do K4-3) | inv. 15 | KILLED | 98/100; reprovou: V1 (challenger_b1_d1_7): so o endereco do Redis nao grava sessao; a escrita exige a senha do shell ; V1 (E01f): REDIS_URL de escrita do shell nao esta presente no ambiente das zonas
AMB2 | base/scripts/ambiente.mjs | NOVA: envDaApp nao apaga REDIS_URL | inv. 15 | KILLED | 99/100; reprovou: V1 (E01f): REDIS_URL de escrita do shell nao esta presente no ambiente das zonas
AMB3 | base/scripts/ambiente.mjs | NOVA: envDoDominio mantem REDIS_URL_ZONA | inv. 15 | KILLED | 99/100; reprovou: V1 (challenger_b1_d1_7): so o endereco do Redis nao grava sessao; a escrita exige a senha do shell
AMB4 | base/scripts/ambiente.mjs | NOVA: subirDominio (dominio que volta no meio da verificacao) sobe com env inteiro | inv. 15 | SURVIVED | 100/100
AMB5 | base/scripts/ambiente.mjs | NOVA: subirApp (zona que volta no meio da verificacao) sobe com env inteiro | inv. 15 | KILLED | 99/100; reprovou: V1 (E01f): REDIS_URL de escrita do shell nao esta presente no ambiente das zonas
AMB6 | base/scripts/ambiente.mjs | NOVA: registrar (pnpm registrar da zona) roda com env inteiro (REDIS_URL) | inv. 15 | SURVIVED | 100/100
