E10d | repos/erp-zona-1/app/zona1/BotaoDeAviso.tsx + repos/erp-zona-1/app/zona1/page.tsx + repos/erp-zona-1/app/zona1/page.tsx | zona1: const envio = { lista: recursos } e extra={envio.lista} (ilha com prop opcional) | inv. 2 | KILLED | 39/40; reprovou: as quatro aplicacoes reais passam 100% nas regras estaticas de seguranca
P10 | repos/erp-zona-1/app/zona1/page.tsx | zona1 page: link de Relatorios para todos | inv. 8 | KILLED | 99/100; reprovou: L3 (auditor_b1_d1_3, P10): o link de Relatorios so aparece para quem tem a funcionalidade (invariante 8)
P09b | repos/erp-zona-acesso/app/acesso/acoes.ts + repos/erp-zona-acesso/app/acesso/acoes.ts | zona-acesso acoes.ts: nucleo as n e revogacao no 2o argumento do acaoProtegida (avaliado antes), erro engolido | inv. 5 | KILLED | 99/100; reprovou: Server Action sem Origin, ou com Origin de outro site, nao executa em nenhuma app (campos validos, estado conferido)
P12c | repos/erp-zona-2/lib/pagina.ts | zona2 lib/pagina.ts: adaptador cabecalho mente origin = shell e sec-fetch-site = same-origin | inv. 5 | KILLED | 96/100; reprovou: Server Action sem Origin, ou com Origin de outro site, nao executa em nenhuma app (campos validos, estado conferido) ; invariante 16: toda Server Action de toda app recusa quem nao tem o modulo, antes de agir ; invariante 12: sessao expirada numa action vira ida ao login, sem erro generico ; L2 (P16b): mutacao envia a versao real do recurso (versao 1 em t-2), provando que If-Match nao e fixo em 3
SEM1 | repos/erp-dominio-stub/dados/semente/dominio-c.json | stub dados/semente/dominio-c.json: t-1 de volta a versao 1 | inv. 6 | KILLED | 99/100; reprovou: N4: acao na zona 2 leva para a zona 1 e o toast aparece no documento seguinte, uma vez
XR20q | repos/erp-zona-1/lib/dominio-a.ts | NOVA: zona1 lib/dominio-a.ts: classe com constructor(fetch) (injecao de dependencia) + listarRecursos faz fetch direto para fora | inv. 4 (N8) | KILLED | 44/100; reprovou: camada 1: sem cookie, shell e zonas mandam para o login do shell, com Location relativo ; N3: o shell grava a sessao e o navegador recebe so um id opaco, HttpOnly e __Host- ; login nao vira redirecionamento aberto ; N5: o menu mostra so os modulos permitidos, igual no shell e nas zonas (moldura comum)
AMB1 | base/scripts/ambiente.mjs | NOVA: iniciar ignora envProc (revert do K4-3) | inv. 15 | KILLED | 98/100; reprovou: V1 (challenger_b1_d1_7): so o endereco do Redis nao grava sessao; a escrita exige a senha do shell ; V1 (E01f): REDIS_URL de escrita do shell nao esta presente no ambiente das zonas
AMB2 | base/scripts/ambiente.mjs | NOVA: envDaApp nao apaga REDIS_URL | inv. 15 | KILLED | 99/100; reprovou: V1 (E01f): REDIS_URL de escrita do shell nao esta presente no ambiente das zonas
AMB3 | base/scripts/ambiente.mjs | NOVA: envDoDominio mantem REDIS_URL_ZONA | inv. 15 | KILLED | 99/100; reprovou: V1 (challenger_b1_d1_7): so o endereco do Redis nao grava sessao; a escrita exige a senha do shell
AMB4 | base/scripts/ambiente.mjs | NOVA: subirDominio (dominio que volta no meio da verificacao) sobe com env inteiro | inv. 15 | SURVIVED | 100/100
AMB5 | base/scripts/ambiente.mjs | NOVA: subirApp (zona que volta no meio da verificacao) sobe com env inteiro | inv. 15 | KILLED | 99/100; reprovou: V1 (E01f): REDIS_URL de escrita do shell nao esta presente no ambiente das zonas
AMB6 | base/scripts/ambiente.mjs | NOVA: registrar (pnpm registrar da zona) roda com env inteiro (REDIS_URL) | inv. 15 | SURVIVED | 100/100
